
"画像名","判定","AI予測","フルパス"
"C31A330000_00026_00_body.png","ガビガビ","ガビガビ","D:\chin\AI精度監視\AI判定画像\18U-7\20230426\4\素体部\ガビガビ\C31A330000_00026_00_body.png"
"C31A330000_00016_00_body.png","ガビガビ","メッキ汚れ","D:\chin\AI精度監視\AI判定画像\18U-7\20230426\4\素体部\メッキ汚れ\C31A330000_00016_00_body.png"
"C31A330000_00112_00_body.png","ガビガビ","メッキ汚れ黄","D:\chin\AI精度監視\AI判定画像\18U-7\20230426\4\素体部\メッキ汚れ黄\C31A330000_00112_00_body.png"
"C31A330000_00036_00_body.png","ガビガビ","ユニットブク","D:\chin\AI精度監視\AI判定画像\18U-7\20230426\4\素体部\ユニットブク\C31A330000_00036_00_body.png"
"C31A330000_00042_00_body.png","ガビガビ","ワレカケ","D:\chin\AI精度監視\AI判定画像\18U-7\20230426\4\素体部\ワレカケ\C31A330000_00042_00_body.png"
"C31A330000_00026_00_body.png","白異物","ガビガビ","D:\chin\AI精度監視\AI判定画像\18U-7\20230426\4\素体部\ガビガビ\C31A330000_00026_00_body.png"
"C31A330000_00016_00_body.png","白異物","メッキ汚れ","D:\chin\AI精度監視\AI判定画像\18U-7\20230426\4\素体部\メッキ汚れ\C31A330000_00016_00_body.png"
"C31A330000_00112_00_body.png","白異物","メッキ汚れ黄","D:\chin\AI精度監視\AI判定画像\18U-7\20230426\4\素体部\メッキ汚れ黄\C31A330000_00112_00_body.png"
"C31A330000_00036_00_body.png","白異物","ユニットブク","D:\chin\AI精度監視\AI判定画像\18U-7\20230426\4\素体部\ユニットブク\C31A330000_00036_00_body.png"
"C31A330000_00042_00_body.png","白異物","ワレカケ","D:\chin\AI精度監視\AI判定画像\18U-7\20230426\4\素体部\ワレカケ\C31A330000_00042_00_body.png"
"C31A330000_00141_00_body.png","白異物","変形","D:\chin\AI精度監視\AI判定画像\18U-7\20230426\4\素体部\変形\C31A330000_00141_00_body.png"
"C31A330000_00026_00_body.png","変色変形","ガビガビ","D:\chin\AI精度監視\AI判定画像\18U-7\20230426\4\素体部\ガビガビ\C31A330000_00026_00_body.png"
