image_path,prediction,prediction_values,label
ｉ寸小-1,ｉ寸小,0.9998817586609786,ｉ寸小
ブク (6),ブク,0.99976148262403,ブク
ミカケ-77 (2),良品,0.9994781451421076,良品
ハガレ-10,ハガレ,0.9993639254975004,ハガレ
ミカケ-23 (2),良品,0.999322006631702,良品
ブク-5 (4),ブク,0.9992842780039596,ブク
ミカケ-24,良品,0.9992389958512572,良品
ミカケ-108,良品,0.9992270589771132,良品
ミカケ-135,良品,0.9992209576491918,良品
タレ-10,良品,0.9991850526665712,タレ
ミカケ-102,良品,0.9991765660473496,良品
ｉ寸大-1 (2),ｉ寸大,0.9990658757390276,ｉ寸大
ハガレ-1 (3),良品,0.9990051193621416,ハガレ
ミカケ-78 (2),良品,0.9989618611041328,良品
ブク-11,ブク,0.9989358511902529,ブク
ブク-12,ブク,0.9988125068767744,ブク
i寸小-3,ｉ寸小,0.9988074450400412,ｉ寸小
ミカケ-11 (2),良品,0.998786254867904,良品
ハガレ-1 (6),良品,0.9987840985411588,ハガレ
ブク-8,ブク,0.9986595538489595,ブク
ミカケ-84 (2),良品,0.9986494651722376,良品
ミカケ-74 (2),良品,0.998569483068678,良品
ミカケ-54 (2),良品,0.9985503137814032,良品
タレ-5,良品,0.9984400401592014,タレ
ミカケ-69,良品,0.9983569214834924,良品
ミカケ-8,良品,0.9981258689538948,良品
ミカケ-110,良品,0.997978484560312,良品
ミカケ-82 (2),良品,0.9979057401103169,良品
ミカケ-5,良品,0.9977551826384896,良品
ｉ寸小-9,ｉ寸小,0.997696870907923,ｉ寸小
ミカケ-17 (2),良品,0.99760974988629,良品
ミカケ-62 (2),良品,0.9975103222843384,良品
ハガレ-4 (3),良品,0.9972494758108418,ハガレ
ミカケ-102 (2),良品,0.9971391531230168,良品
タレ-10 (2),良品,0.9970517691977162,タレ
ミカケ-43,良品,0.9968880358744452,良品
ミカケ-123 (2),良品,0.9965005046665945,良品
ｉ寸大-6 (2),ｉ寸大,0.996389354936874,ｉ寸大
ミカケ-119,良品,0.9963216431089724,良品
ｉ寸小-5 (2),ｉ寸小,0.9957685391020572,ｉ寸小
ブク (8),良品,0.995696366109446,ブク
ミカケ-28 (2),良品,0.99566729066127,良品
タレ-1 (2),良品,0.9954801625464264,タレ
ミカケ-118 (2),良品,0.9945438985113584,良品
ミカケ-46,良品,0.994511313767478,良品
タレ-11 (2),良品,0.994457686188532,タレ
ブク (2),ブク,0.993385143145206,ブク
ミカケ-25,良品,0.9926345230128482,良品
ツノ-19,ツノ,0.9920690735990616,ツノ
ｉ寸小-6,ｉ寸小,0.9919292675855916,ｉ寸小
ブク-14,ブク,0.9919015369058848,ブク
ミカケ-37,良品,0.9915674964970416,良品
タレ-4 (3),タレ,0.9914053978217252,タレ
ツノ-17,ツノ,0.9911270178958422,ツノ
ミカケ-107,良品,0.9907881582303272,良品
ｉ寸小-12,ｉ寸小,0.9907130836179232,ｉ寸小
ツノ-3 (2),ツノ,0.9904367623929212,ツノ
ツノ-11,良品,0.9903096884733208,ツノ
ブク (9),ブク,0.990228829141383,ブク
ミカケ-121 (2),良品,0.9901594868193424,良品
ミカケ-15,良品,0.9896120338253388,良品
ｉ寸大-27,ｉ寸大,0.9895123290441752,ｉ寸大
ｉ寸小-1 (2),ｉ寸小,0.9893401847728917,ｉ寸小
ミカケ-18,良品,0.9883024103942072,良品
ミカケ-109 (2),良品,0.9877975300235016,良品
ミカケ-118,良品,0.9858618231477924,良品
ツノ-10,ツノ,0.9856804789095048,ツノ
ｉ寸小-13,ｉ寸小,0.9830835880436986,ｉ寸小
ミカケ-23,良品,0.9811823055447708,良品
タレ-8,良品,0.980033527210486,タレ
タレ-14 (2),タレ,0.978732200488871,タレ
ミカケ-56,良品,0.97063694356506,良品
ミカケ-57,良品,0.9683627727579808,良品
ミカケ-11,良品,0.966734493956466,良品
ミカケ-16,良品,0.964348738425732,良品
タレ-13,良品,0.9617851484789728,タレ
タレ-6,良品,0.9572787677532176,タレ
ハガレ-18,ハガレ,0.9553922639799486,ハガレ
ミカケ-64,良品,0.9497192120451932,良品
ハガレ-9,ハガレ,0.9346441170184336,ハガレ
ブク (7),ブク,0.923004165692564,ブク
ハガレ-16,ハガレ,0.837064177488294,ハガレ
ｉ寸大-12,良品,0.8047848659748749,ｉ寸大
ｽﾞﾚ (2),ｽﾞﾚ,0.7818848600107428,ｽﾞﾚ
タレ-26,タレ,0.6958247940549495,タレ
ツノ,ツノ,0.6954537085676213,ツノ
ｉ寸大-16,ｉ寸大,0.6293766526381109,ｉ寸大
ｉ寸大-17,ｉ寸大,0.5538688089453256,ｉ寸大
ｽﾞﾚ (3),ｽﾞﾚ,0.5252715479767193,ｽﾞﾚ
タレ-14,タレ,0.5229444141968072,タレ
ツノ-1 (3),ブク,0.4435762129764444,ツノ
ミカケ-61,タレ,0.2838835400993215,良品
