image_path,prediction,prediction_values,label
ミカケ-69,良品,0.9955401813228748,良品
タレ-10,良品,0.9955058483115968,タレ
ブク (8),良品,0.9953025084515744,ブク
ミカケ-37,良品,0.9952851853850812,良品
ミカケ-121 (2),良品,0.9952096273783162,良品
ミカケ-107,良品,0.9950759475833963,良品
ミカケ-123 (2),良品,0.995059349994236,良品
ミカケ-135,良品,0.9950466725657234,良品
ミカケ-17 (2),良品,0.9950355152850636,良品
ミカケ-109 (2),良品,0.995027601606952,良品
タレ-14 (2),良品,0.9950244439538218,タレ
ハガレ-1 (3),良品,0.9950214732792914,ハガレ
ミカケ-43,良品,0.9950034627880564,良品
ミカケ-11 (2),良品,0.9949979171949164,良品
ミカケ-78 (2),良品,0.9949829553787222,良品
ミカケ-11,良品,0.9949828101776632,良品
ミカケ-18,良品,0.994976529208468,良品
タレ-14,良品,0.9949451435163534,タレ
ブク-5 (4),良品,0.9949296109245738,ブク
ミカケ-54 (2),良品,0.9949295459759032,良品
ｅ寸大-11,良品,0.9949125515603524,ｅ寸大
ブク (6),良品,0.9949062217500292,ブク
ミカケ-119,良品,0.9948964472321769,良品
ミカケ-28 (2),良品,0.9948855138178784,良品
ミカケ-8,良品,0.994833430766431,良品
ミカケ-23,良品,0.9948156609392992,良品
ミカケ-82 (2),良品,0.9948098489065702,良品
ブク-11,良品,0.9947945818346182,ブク
ミカケ-77 (2),良品,0.9947599803962572,良品
ブク (9),良品,0.9947209001160048,ブク
ミカケ-102 (2),良品,0.9946962916971416,良品
ブク-8,良品,0.994689968783898,ブク
ミカケ-56,良品,0.9946642604319744,良品
タレ-8,良品,0.9946535676910622,タレ
ミカケ-102,良品,0.9946530934853616,良品
タレ-26,良品,0.9945939563473296,タレ
タレ-6,良品,0.994588194851238,タレ
ミカケ-25,良品,0.9945624297027214,良品
ハガレ-1 (6),良品,0.994471584799435,ハガレ
ミカケ-64,良品,0.994464685766688,良品
タレ-13,良品,0.9944430783063046,タレ
ミカケ-23 (2),良品,0.9944213499393154,良品
電極カケ-2,良品,0.994403824174968,電極カケ
ミカケ-24,良品,0.9943380518477172,良品
ミカケ-46,良品,0.9943178121082984,良品
ミカケ-62 (2),良品,0.9942990494195374,良品
ブク-14,良品,0.9942808569473784,ブク
ミカケ-16,良品,0.9942631643504466,良品
ｅ寸小-2,良品,0.994108350545095,ｅ寸小
ブク (2),良品,0.9940577310534128,ブク
ミカケ-15,良品,0.9939959915844638,良品
ミカケ-61,良品,0.9939730912597536,良品
ミカケ-5,良品,0.9939644383646468,良品
ミカケ-84 (2),良品,0.9939294096767636,良品
ミカケ-108,良品,0.9939118052097028,良品
タレ-1 (2),良品,0.9939087632398854,タレ
ブク-12,良品,0.9938593677999616,ブク
タレ-10 (2),良品,0.9938092457277864,タレ
ミカケ-118 (2),良品,0.9937713300006468,良品
タレ-11 (2),良品,0.9937543562404152,タレ
ｅ寸小-1 (3),良品,0.9937485143260566,ｅ寸小
ブク (7),良品,0.9936158425204784,ブク
ハガレ-4 (3),良品,0.9935372817548832,ハガレ
ミカケ-74 (2),良品,0.993525415856436,良品
電極カケ-1 (2),良品,0.9934564774357552,電極カケ
ミカケ-57,良品,0.993364342918058,良品
ｅ寸大-1,良品,0.9931836226251594,ｅ寸大
タレ-4 (3),良品,0.9925635540887904,タレ
ミカケ-110,良品,0.9922155680896718,良品
ミカケ-118,良品,0.9914099999822747,良品
ｅ寸小-1 (2),良品,0.9859989806711458,ｅ寸小
タレ-5,良品,0.9793298503979292,タレ
ハガレ-18,ハガレ,0.9680336929422452,ハガレ
ハガレ-9,ハガレ,0.9645799442981782,ハガレ
ハガレ-16,ハガレ,0.9572381486639708,ハガレ
ハガレ-10,ハガレ,0.9289879473818874,ハガレ
